rho,noise,network,n_sens,expect,ga_acc,rnd_acc,drop_s,drop_i,share_i
0.5,0.5,47,6,2.3072,0.8545454545454545,0.41818181818181815,0.1515151515151514,0.07272727272727265,0.32432432432432423
0.5,0.5,48,5,2.8176,0.7,0.41818181818181815,0.0272727272727272,0.012121212121212066,0.30769230769230727
0.5,0.5,49,6,1.9472,0.7181818181818181,0.3181818181818182,0.14999999999999994,0.0772727272727272,0.3399999999999999
0.55,0.44999999999999996,0,5,3.1616,0.7909090909090909,0.3363636363636363,0.11999999999999995,0.08484848484848477,0.41420118343195256
0.55,0.44999999999999996,1,7,3.952,0.5727272727272728,0.32727272727272727,0.028571428571428574,-0.009090909090909,-0.4666666666666598
0.55,0.44999999999999996,2,2,1.2512,0.9090909090909092,0.309090909090909,0.1681818181818181,0.08939393939393932,0.3470588235294117
0.55,0.44999999999999996,3,7,2.6784,0.8727272727272727,0.3818181818181818,0.09610389610389602,0.0545454545454544,0.36206896551724094
0.55,0.44999999999999996,4,2,0.1984,0.9818181818181818,0.2636363636363636,0.1318181818181818,0.08181818181818176,0.3829787234042552
0.55,0.44999999999999996,5,6,2.6016,0.9272727272727272,0.4545454545454545,0.1454545454545454,0.059090909090909,0.28888888888888864
0.55,0.44999999999999996,6,6,3.2336,0.8454545454545455,0.40909090909090906,0.1545454545454545,0.04090909090909085,0.20930232558139514
0.55,0.44999999999999996,7,7,1.912,0.990909090909091,0.2909090909090909,0.08571428571428573,0.0272727272727273,0.24137931034482774
0.55,0.44999999999999996,8,6,1.7712,0.8,0.2727272727272727,0.1878787878787879,0.0590909090909091,0.23926380368098157
0.55,0.44999999999999996,9,8,3.5344,0.7363636363636363,0.3727272727272727,0.04659090909090902,,
0.55,0.44999999999999996,10,6,1.5744,1.0,0.3454545454545454,0.07121212121212116,0.0136363636363636,0.16071428571428545
0.55,0.44999999999999996,11,8,2.8752,0.7636363636363637,0.3727272727272727,0.0636363636363636,,
0.55,0.44999999999999996,12,6,0.8992,0.990909090909091,0.24545454545454543,0.12121212121212123,0.00454545454545455,0.03614457831325304
0.55,0.44999999999999996,13,4,2.12,0.9818181818181818,0.509090909090909,0.01590909090909085,0.0386363636363636,0.7083333333333339
0.55,0.44999999999999996,14,5,4.4944,0.6727272727272727,0.24545454545454543,0.15999999999999998,0.09696969696969689,0.3773584905660376
0.55,0.44999999999999996,15,6,1.9136,0.8363636363636363,0.3363636363636363,0.15757575757575748,0.10454545454545446,0.3988439306358381
0.55,0.44999999999999996,16,7,3.1968,0.8181818181818182,0.40909090909090906,0.12987012987012989,0.0545454545454545,0.2957746478873237
0.55,0.44999999999999996,17,6,1.8576,0.990909090909091,0.3818181818181817,0.11363636363636365,0.0772727272727273,0.4047619047619048
0.55,0.44999999999999996,18,7,3.6304,0.6090909090909091,0.3090909090909091,0.0181818181818182,0.0727272727272727,0.7999999999999997
0.55,0.44999999999999996,19,4,2.8016,0.7,0.3545454545454545,0.09545454545454535,0.10227272727272717,0.5172413793103449
0.55,0.44999999999999996,20,3,1.5088,0.9818181818181818,0.4545454545454545,0.12727272727272718,0.06181818181818175,0.32692307692307687
0.55,0.44999999999999996,21,7,2.4576,0.8272727272727273,0.3181818181818182,0.10779220779220777,0.0727272727272727,0.40287769784172656
0.55,0.44999999999999996,22,5,3.0992,0.8454545454545455,0.3727272727272727,0.12181818181818176,0.10303030303030303,0.4582210242587602
0.55,0.44999999999999996,23,5,4.0208,0.6090909090909091,0.2818181818181818,0.04727272727272722,0.06969696969696973,0.5958549222797932
0.55,0.44999999999999996,24,7,2.3632,0.8454545454545455,0.3909090909090909,0.14025974025974025,0.0818181818181817,0.36842105263157865
0.55,0.44999999999999996,25,7,3.6528,0.6090909090909091,0.2727272727272727,0.09220779220779222,0.1272727272727273,0.5798816568047338
0.55,0.44999999999999996,26,5,3.7312,0.6545454545454545,0.309090909090909,0.09818181818181815,0.0909090909090909,0.48076923076923084
0.55,0.44999999999999996,27,6,2.9392,0.8818181818181818,0.3909090909090909,0.09545454545454546,0.0772727272727273,0.44736842105263164
0.55,0.44999999999999996,28,8,3.7872,0.8636363636363636,0.29999999999999993,0.11249999999999998,,
0.55,0.44999999999999996,29,7,3.4832,0.7090909090909091,0.309090909090909,0.09090909090909087,0.1090909090909091,0.5454545454545456
0.55,0.44999999999999996,30,5,2.2736,0.8636363636363636,0.41818181818181815,0.11818181818181817,0.024242424242424235,0.1702127659574468
0.55,0.44999999999999996,31,6,2.168,0.9272727272727272,0.409090909090909,0.1454545454545454,0.0772727272727272,0.34693877551020397
0.55,0.44999999999999996,32,5,2.144,0.8818181818181818,0.49090909090909085,0.09636363636363635,0.06666666666666664,0.40892193308550184
0.55,0.44999999999999996,33,6,2.2032,0.8272727272727273,0.47272727272727266,0.13787878787878782,0.0,0.0
0.55,0.44999999999999996,34,4,3.0944,0.5363636363636364,0.2545454545454545,0.08409090909090908,0.03863636363636365,0.31481481481481494
0.55,0.44999999999999996,35,6,2.4576,0.8545454545454545,0.2818181818181818,0.1499999999999999,0.031818181818181704,0.17499999999999957
0.55,0.44999999999999996,36,5,4.4576,0.4909090909090909,0.22727272727272724,0.03272727272727268,0.0363636363636363,0.5263157894736841
0.55,0.44999999999999996,37,7,2.1936,0.8727272727272727,0.3363636363636363,0.11168831168831159,0.009090909090909,0.07526881720430045
0.55,0.44999999999999996,38,8,3.0448,0.8,0.32727272727272727,0.08409090909090908,,
0.55,0.44999999999999996,39,7,2.9616,0.8909090909090909,0.43636363636363634,0.09740259740259734,0.0181818181818181,0.15730337078651635
0.55,0.44999999999999996,40,5,3.2032,0.8090909090909091,0.40909090909090906,0.09272727272727269,0.09090909090909083,0.49504950495049493
0.55,0.44999999999999996,41,7,2.7728,0.6727272727272727,0.21818181818181817,0.11298701298701297,0.1090909090909091,0.4912280701754387
0.55,0.44999999999999996,42,5,2.7632,0.8181818181818182,0.2727272727272727,0.12181818181818185,0.13939393939393943,0.5336426914153132
0.55,0.44999999999999996,43,8,3.1328,0.9636363636363636,0.46363636363636357,0.09431818181818177,,
0.55,0.44999999999999996,44,7,2.0064,0.9454545454545454,0.2727272727272727,0.11168831168831164,0.0363636363636363,0.24561403508771906
0.55,0.44999999999999996,45,8,3.6944,0.7818181818181819,0.3727272727272727,0.12727272727272732,,
0.55,0.44999999999999996,46,6,1.88,0.9363636363636364,0.2727272727272727,0.16363636363636366,-0.0045454545454545,-0.028571428571428272
